Code,Description,SortOrder
1,"Hotel- lower range",1
2,"Hotel- mid-range",2
3,"Hotel- top class",3
4,"Motor Inns",4
5,"Motels",5
6,"Serviced Apartments",6
7,"Private hotels / Guest houses",7
8,"Bed and Breakfasts",8
9,"Farm and home stay",9
10,"Resorts, Luxury Lodges, Retreats",10
11,"Backpackers/Hostels",11
12,"Cabin",12
13,"Caravan site/campervan site",13
14,"Tent site",14
15,"Park motel",15
16,"Dormitory",16
17,"Student Halls Of Residence",17
18,"Conference centres",18
19,"Health establishments",19
20,"Marae",20
21,"Own holiday home/apartment/bach/crib",21
22,"Holiday home/apartment/bach/crib of a friend or relative",22
23,"Private home of friend or relative",23
24,"Rented accommodation (home/bach/crib /shared flat)",24
25,"Time-share apartment",25
26,"National Park/Dept of Conservation hut",26
27,"National Park/Dept of Conservation tent site",27
28,"Yacht/Boat",28
29,"Cruise Ship",29
30,"Free camping (tent or campervan)",30
31,"Employer provided accommodation",31
32,"In transit (eg train/ferry/bus/coach/car)",32
33,"Other Tourism Accommodation",33
34,"Dont know/Refused",34
35,"All",35
