Code,Description,SortOrder
1,"Northland RTO",1
2,"Auckland RTO",2
3,"Coromandel RTO",3
4,"Waikato RTO",4
5,"Bay of Plenty RTO",5
6,"Rotorua RTO",6
7,"Lake Taupo RTO",7
8,"Kawerau-Whakatane",8
9,"Eastland RTO",9
10,"Taranaki RTO",10
11,"Hawkes Bay RTO",11
12,"Ruapehu RTO",12
13,"Manawatu RTO",13
14,"Wanganui RTO",14
15,"Wairarapa RTO",15
16,"Kapiti-Horowhenua RTO",16
17,"Wellington RTO",17
18,"Marlborough RTO",18
19,"Nelson RTO",19
20,"Canterbury RTO",20
21,"Hurunui RTO",21
22,"Central South Island RTO",22
23,"Mackenzie RTO",23
24,"Waitaki RTO",24
25,"West Coast RTO",25
26,"Lake Wanaka RTO",26
27,"Queenstown RTO",27
28,"Central Otago RTO",28
29,"Dunedin RTO",29
30,"Clutha",30
31,"Fiordland RTO",31
32,"Southland RTO",32
33,"Other",33
34,"All",34
