Code,Description,Sort
1,"YEDec 1997",
2,"YEDec 1998",
3,"YEDec 1999",
4,"YEDec 2000",
5,"YEDec 2001",
6,"YEDec 2002",
7,"YEDec 2003",
8,"YEDec 2004",
9,"YEDec 2005",
10,"YEDec 2006",
11,"YEDec 2007",
12,"YEDec 2008",
13,"YEDec 2009",
14,"YEDec 2010",
15,"YEDec 2011",
16,"YEDec 2012",
17,"YEDec 2013",
18,"YEDec 2014",
19,"YEJun 1998",
20,"YEJun 1999",
21,"YEJun 2000",
22,"YEJun 2001",
23,"YEJun 2002",
24,"YEJun 2003",
25,"YEJun 2004",
26,"YEJun 2005",
27,"YEJun 2006",
28,"YEJun 2007",
29,"YEJun 2008",
30,"YEJun 2009",
31,"YEJun 2010",
32,"YEJun 2011",
33,"YEJun 2012",
34,"YEJun 2013",
35,"YEJun 2014",
36,"YEMar 1998",
37,"YEMar 1999",
38,"YEMar 2000",
39,"YEMar 2001",
40,"YEMar 2002",
41,"YEMar 2003",
42,"YEMar 2004",
43,"YEMar 2005",
44,"YEMar 2006",
45,"YEMar 2007",
46,"YEMar 2008",
47,"YEMar 2009",
48,"YEMar 2010",
49,"YEMar 2011",
50,"YEMar 2012",
51,"YEMar 2013",
52,"YEMar 2014",
53,"YEMar 2015",
54,"YESep 1998",
55,"YESep 1999",
56,"YESep 2000",
57,"YESep 2001",
58,"YESep 2002",
59,"YESep 2003",
60,"YESep 2004",
61,"YESep 2005",
62,"YESep 2006",
63,"YESep 2007",
64,"YESep 2008",
65,"YESep 2009",
66,"YESep 2010",
67,"YESep 2011",
68,"YESep 2012",
69,"YESep 2013",
70,"YESep 2014",
