Code,Description,SortOrder
1,"All", 
2,"Auckland RTO", 
3,"Bay of Plenty RTO", 
4,"Central Otago RTO", 
5,"Christchurch", 
6,"Clutha", 
7,"Coromandel RTO", 
8,"Dunedin RTO", 
9,"Fiordland RTO", 
10,"Gisborne RTO", 
11,"Hawke's Bay RTO", 
12,"Kapiti-Horowhenua RTO", 
13,"Kawerau-Whakatane", 
14,"Lake Taupo RTO", 
15,"Lake Wanaka RTO", 
16,"Manawatu RTO", 
17,"Marlborough RTO", 
18,"Nelson Tasman RTO", 
19,"North Canterbury", 
20,"Northland RTO", 
21,"Queenstown RTO", 
22,"Rotorua RTO", 
23,"Ruapehu RTO", 
24,"South Canterbury", 
25,"Southland RTO", 
26,"Taranaki RTO", 
27,"Waikato RTO", 
28,"Wairarapa RTO", 
29,"Waitaki RTO", 
30,"Wanganui RTO", 
31,"Wellington RTO", 
32,"West Coast RTO", 
