Code,Description,SortOrder
1,"All", 
2,"YEDec 1997", 
3,"YEDec 1998", 
4,"YEDec 1999", 
5,"YEDec 2000", 
6,"YEDec 2001", 
7,"YEDec 2002", 
8,"YEDec 2003", 
9,"YEDec 2004", 
10,"YEDec 2005", 
11,"YEDec 2006", 
12,"YEDec 2007", 
13,"YEDec 2008", 
14,"YEDec 2009", 
15,"YEDec 2010", 
16,"YEDec 2011", 
17,"YEDec 2012", 
18,"YEDec 2013", 
19,"YEDec 2014", 
20,"YEJun 1998", 
21,"YEJun 1999", 
22,"YEJun 2000", 
23,"YEJun 2001", 
24,"YEJun 2002", 
25,"YEJun 2003", 
26,"YEJun 2004", 
27,"YEJun 2005", 
28,"YEJun 2006", 
29,"YEJun 2007", 
30,"YEJun 2008", 
31,"YEJun 2009", 
32,"YEJun 2010", 
33,"YEJun 2011", 
34,"YEJun 2012", 
35,"YEJun 2013", 
36,"YEJun 2014", 
37,"YEMar 1998", 
38,"YEMar 1999", 
39,"YEMar 2000", 
40,"YEMar 2001", 
41,"YEMar 2002", 
42,"YEMar 2003", 
43,"YEMar 2004", 
44,"YEMar 2005", 
45,"YEMar 2006", 
46,"YEMar 2007", 
47,"YEMar 2008", 
48,"YEMar 2009", 
49,"YEMar 2010", 
50,"YEMar 2011", 
51,"YEMar 2012", 
52,"YEMar 2013", 
53,"YEMar 2014", 
54,"YEMar 2015", 
55,"YESep 1998", 
56,"YESep 1999", 
57,"YESep 2000", 
58,"YESep 2001", 
59,"YESep 2002", 
60,"YESep 2003", 
61,"YESep 2004", 
62,"YESep 2005", 
63,"YESep 2006", 
64,"YESep 2007", 
65,"YESep 2008", 
66,"YESep 2009", 
67,"YESep 2010", 
68,"YESep 2011", 
69,"YESep 2012", 
70,"YESep 2013", 
71,"YESep 2014", 
