Code,Description,SortOrder
1,"All", 
2,"Ashburton District", 
3,"Auckland", 
4,"Buller District", 
5,"Carterton District", 
6,"Central Hawke's Bay District", 
7,"Central Otago District", 
8,"Christchurch City", 
9,"Clutha District", 
10,"Dunedin City", 
11,"Far North District", 
12,"Gisborne District", 
13,"Gore District", 
14,"Grey District", 
15,"Hamilton City", 
16,"Hastings District", 
17,"Hauraki District", 
18,"Horowhenua District", 
19,"Hurunui District", 
20,"Invercargill City", 
21,"Kaikoura District", 
22,"Kaipara District", 
23,"Kapiti Coast District", 
24,"Kawerau District", 
25,"Lower Hutt City", 
26,"Mackenzie District", 
27,"Manawatu District", 
28,"Marlborough District", 
29,"Masterton District", 
30,"Matamata-Piako District", 
31,"Napier City", 
32,"Nelson City", 
33,"New Plymouth District", 
34,"Opotiki District", 
35,"Otorohanga District", 
36,"Palmerston North City", 
37,"Queenstown-Lakes District", 
38,"Rangitikei District", 
39,"Rotorua District", 
40,"Ruapehu District", 
41,"Selwyn District", 
42,"South Taranaki District", 
43,"South Waikato District", 
44,"South Wairarapa District", 
45,"Southland District", 
46,"Stratford District", 
47,"Tararua District", 
48,"Tasman District", 
49,"Taupo District", 
50,"Tauranga City", 
51,"Thames-Coromandel District", 
52,"Timaru District", 
53,"Waikato District", 
54,"Waimakariri District", 
55,"Waimate District", 
56,"Waipa District", 
57,"Wairoa District", 
58,"Waitaki District", 
59,"Waitomo District", 
60,"Wanganui District", 
61,"Wellington City", 
62,"Western Bay of Plenty District", 
63,"Westland District", 
64,"Whakatane District", 
65,"Whangarei District", 
