Code,Description,SortOrder
1,"YEDec 1999",1
2,"YEMar 2000",2
3,"YEJun 2000",3
4,"YESep 2000",4
5,"YEDec 2000",5
6,"YEMar 2001",6
7,"YEJun 2001",7
8,"YESep 2001",8
9,"YEDec 2001",9
10,"YEMar 2002",10
11,"YEJun 2002",11
12,"YESep 2002",12
13,"YEDec 2002",13
14,"YEMar 2003",14
15,"YEJun 2003",15
16,"YESep 2003",16
17,"YEDec 2003",17
18,"YEMar 2004",18
19,"YEJun 2004",19
20,"YESep 2004",20
21,"YEDec 2004",21
22,"YEMar 2005",22
23,"YEJun 2005",23
24,"YESep 2005",24
25,"YEDec 2005",25
26,"YEMar 2006",26
27,"YEJun 2006",27
28,"YESep 2006",28
29,"YEDec 2006",29
30,"YEMar 2007",30
31,"YEJun 2007",31
32,"YESep 2007",32
33,"YEDec 2007",33
34,"YEMar 2008",34
35,"YEJun 2008",35
36,"YESep 2008",36
37,"YEDec 2008",37
38,"YEMar 2009",38
39,"YEJun 2009",39
40,"YESep 2009",40
41,"YEDec 2009",41
42,"YEMar 2010",42
43,"YEJun 2010",43
44,"YESep 2010",44
45,"YEDec 2010",45
46,"YEMar 2011",46
47,"YEJun 2011",47
48,"YESep 2011",48
49,"YEDec 2011",49
50,"YEMar 2012",50
51,"YEJun 2012",51
52,"YESep 2012",52
53,"YEDec 2012",53
54,"All",54
